"effect" "component" "term" "estimate" "std.error" "statistic" "p.value" "conf.low" "conf.high" "response" "df" "p_adjusted_BH" "significant_BH"
"36" "fixed" "cond" "energy_tot:foliage_height_diversity" -0.106074486055897 0.0620493420995874 -1.70951830376622 0.0873549841726927 -0.227688961835493 0.0155399897236995 "GRD_DVPDR" NA 0.209651962014462 FALSE
"37" "fixed" "cond" "(Intercept)" 1.36950432441727 0.031098225449516 44.0380216112487 0 1.30855292255311 1.43045572628143 "UND_DTR" NA 0 TRUE
"38" "fixed" "cond" "energy_tot" 0.306361288922354 0.00794307980515102 38.5695846494809 0 0.290793138577931 0.321929439266778 "UND_DTR" NA 0 TRUE
"39" "fixed" "cond" "canopy_openess" 0.083884039610046 0.0331146748053699 2.53313795479106 0.0113046452372511 0.018980469631765 0.148787609588327 "UND_DTR" NA 0.043905722823883 TRUE
"40" "fixed" "cond" "northness" -0.0746662386006144 0.038247764114148 -1.9521726388444 0.0509177114773115 -0.149630478753528 0.000298001552299185 "UND_DTR" NA 0.135780563939497 FALSE
"41" "fixed" "cond" "eastness" 0.0148060952471408 0.0365300100101391 0.405313199832993 0.685247305042181 -0.0567914087276196 0.0864035992219011 "UND_DTR" NA 0.822296766050617 FALSE
"42" "fixed" "cond" "ENL0D" 0.0443590500045894 0.0512222191282441 0.866011874525164 0.386483649956133 -0.0560346546949876 0.144752754704166 "UND_DTR" NA 0.592060059507268 FALSE
"43" "fixed" "cond" "SSCI" 0.0260154077305994 0.0381365454263873 0.682164769769602 0.495134768836 -0.0487308477998953 0.100761663261094 "UND_DTR" NA 0.685571218388308 FALSE
"44" "fixed" "cond" "Elevation" -0.0229267416638649 0.0456671578736786 -0.502040037772512 0.615639357673224 -0.11243272637258 0.0665792430448499 "UND_DTR" NA 0.793625367243293 FALSE
"45" "fixed" "cond" "Slope_30" 0.0363466071363107 0.0446495142659899 0.814042610178995 0.415620541121312 -0.0511648327522368 0.123858047024858 "UND_DTR" NA 0.61070773389254 FALSE
"46" "fixed" "cond" "foliage_height_diversity" -0.12482510917824 0.0597223157109016 -2.09009157954428 0.0366095739418023 -0.241878697044938 -0.0077715213115426 "UND_DTR" NA 0.105435572952391 FALSE
"47" "fixed" "cond" "energy_tot:canopy_openess" 0.0143640734834084 0.00872617806077198 1.64608988991198 0.099745253618265 -0.0027389212383882 0.0314670682052051 "UND_DTR" NA 0.224426820641096 FALSE
"48" "fixed" "cond" "energy_tot:northness" -0.0229483834969567 0.00938487211047074 -2.44525266054005 0.0144750696701443 -0.0413423948329938 -0.00455437216091965 "UND_DTR" NA 0.051255984405757 FALSE
"49" "fixed" "cond" "energy_tot:eastness" 0.00503423805022198 0.00929090704761417 0.541845701869844 0.587924804800486 -0.0131756051468112 0.0232440812472551 "UND_DTR" NA 0.774339986810397 FALSE
"50" "fixed" "cond" "energy_tot:ENL0D" -0.0205260822470265 0.0133139338804825 -1.5416992777106 0.123146687553258 -0.0466209131453199 0.0055687486512668 "UND_DTR" NA 0.265996845115038 FALSE
"51" "fixed" "cond" "energy_tot:SSCI" 0.0183576420145162 0.0102198680905569 1.79626995689686 0.0724515934844948 -0.00167293136972545 0.0383882153987579 "UND_DTR" NA 0.181971444100591 FALSE
"52" "fixed" "cond" "energy_tot:Elevation" -0.0186678294065848 0.0112587611100374 -1.65807136541357 0.0973030627332088 -0.0407345956927982 0.00339893687962863 "UND_DTR" NA 0.221236437372348 FALSE
"53" "fixed" "cond" "energy_tot:Slope_30" 0.00995595973173371 0.0113192998875927 0.879556141334023 0.379099807153493 -0.0122294603781563 0.0321413798416238 "UND_DTR" NA 0.588462823951284 FALSE
"54" "fixed" "cond" "energy_tot:foliage_height_diversity" 0.010210589366306 0.0159179761760438 0.64145022290414 0.521230211637624 -0.0209880706455063 0.0414092493781184 "UND_DTR" NA 0.712567884264093 FALSE
"55" "fixed" "cond" "(Intercept)" -2.4416587366045 0.136073185508012 -17.943717033513 5.37373268905875e-72 -2.70835727946184 -2.17496019374716 "UND_DVPDR" NA 5.80363130418345e-71 TRUE
"56" "fixed" "cond" "energy_tot" 0.898111919619138 0.0270972791537381 33.1439889047031 6.91329370121959e-241 0.845002228398784 0.951221610839493 "UND_DVPDR" NA 1.49327143946343e-239 TRUE
"57" "fixed" "cond" "canopy_openess" 0.000491971624713309 0.149144697923019 0.00329861960609045 0.997368087117266 -0.29182626478951 0.292810208038937 "UND_DVPDR" NA 0.997368087117266 FALSE
"58" "fixed" "cond" "northness" -0.149178760062242 0.168927251416653 -0.883094697931822 0.377185108619977 -0.480270088846225 0.181912568721741 "UND_DVPDR" NA 0.588462823951284 FALSE
"59" "fixed" "cond" "eastness" 0.00247147285481704 0.162745611670297 0.0151861105774326 0.987883702539367 -0.316504064660907 0.321447010370541 "UND_DVPDR" NA 0.997368087117266 FALSE
"60" "fixed" "cond" "ENL0D" -0.000791740228470321 0.228039241734046 -0.0034719472949033 0.997229792423017 -0.447740441089024 0.446156960632083 "UND_DVPDR" NA 0.997368087117266 FALSE
